
===== CMD_SET 0x00 (0) [general] =====
  0x03/0xDA (218)  req=uav_fc_mc_monitor_req  rsp=uav_fc_mc_monitor_rsp
  0x03/0xE9 (233)  req=uav_fc_set_cmd_handler_req  rsp=uav_fc_set_cmd_handler_rsp
  0x03/0xED (237)  req=uav_fc_esc_echo_cmd_info_req  rsp=uav_fc_esc_echo_cmd_info_rsp
  0x03/0xEE (238)  req=uav_fc_get_app_count_down_push_req  rsp=uav_general_set_device_date_rsp
  0x03/0xF3 (243)  req=uav_fc_reset_cfg_item_req  rsp=uav_fc_reset_cfg_item_rsp
  0x03/0xF5 (245)  req=uav_fc_get_get_set_driver_licesen_info_req  rsp=uav_fc_get_get_set_driver_licesen_info_rsp
  0x03/0xF7 (247)  req=uav_fc_get_get_cfg_item_info_by_hash_req  rsp=uav_fc_get_get_cfg_item_info_by_hash_rsp
  0x03/0xF8 (248)  req=uav_fc_read_hash_param_req  rsp=uav_fc_read_hash_param_rsp
  0x03/0xF9 (249)  req=uav_fc_set_write_hash_param_req  rsp=uav_fc_set_write_hash_param_rsp
  0x03/0xFA (250)  req=uav_fc_set_reset_cfg_item_by_hash_req  rsp=uav_fc_set_reset_cfg_item_by_hash_rsp
  0x03/0xFE (254)  req=uav_fc_set_set_motor_force_disable_flag_req  rsp=uav_fc_set_set_motor_force_disable_flag_rsp

===== CMD_SET 0x04 (4) [gimbal] =====
  0x04/0x01 (  1)  req=uav_gimbal_set_motion_control_req  rsp=uav_gimbal_set_motion_control_rsp
  0x04/0x07 (  7)  req=uav_gimbal_set_roll_trimming_adjust_req  rsp=uav_gimbal_set_roll_trimming_adjust_rsp
  0x04/0x08 (  8)  req=uav_gimbal_auto_calibration_req  rsp=uav_gimbal_auto_calibration_rsp
  0x04/0x0A ( 10)  req=uav_gimbal_set_control_gimbal_angle_req  rsp=uav_gimbal_set_control_gimbal_angle_rsp
  0x04/0x0C ( 12)  req=uav_gimbal_set_cmd_custom_ctrl_speed_req  rsp=uav_gimbal_set_cmd_custom_ctrl_speed_rsp
  0x04/0x0D ( 13)  req=uav_gimbal_set_turn_on_off_control_req  rsp=uav_gimbal_set_turn_on_off_control_rsp
  0x04/0x0F ( 15)  req=uav_gimbal_set_user_params_req  rsp=uav_gimbal_set_user_params_rsp
  0x04/0x10 ( 16)  req=uav_gimbal_read_params_req  rsp=uav_gimbal_read_params_rsp
  0x04/0x12 ( 18)  req=uav_gimbal_get_message_subscription_req  rsp=uav_gimbal_get_message_subscription_rsp
  0x04/0x13 ( 19)  req=uav_gimbal_reset_default_params_req  rsp=uav_gimbal_reset_default_params_rsp
  0x04/0x14 ( 20)  req=uav_gimbal_set_control_gimbal_angle_ex_req  rsp=uav_gimbal_set_control_gimbal_angle_ex_rsp
  0x04/0x25 ( 37)  req=uav_gimbal_set_gimbal_timelapse_control_req  rsp=uav_gimbal_set_gimbal_timelapse_control_rsp
  0x04/0x3A ( 58)  req=uav_gimbal_set_coordinate_system_rotate_req  rsp=uav_gimbal_set_coordinate_system_rotate_rsp
  0x04/0x44 ( 68)  req=uav_gimbal_set_gimbal_work_mode_req  rsp=uav_gimbal_set_gimbal_work_mode_rsp
  0x04/0x4C ( 76)  req=uav_gimbal_set_work_mode_and_return_center_req  rsp=uav_gimbal_set_work_mode_and_return_center_rsp
  0x04/0x50 ( 80)  req=uav_gimbal_gimbal_system_param_req  rsp=uav_gimbal_gimbal_system_param_rsp
  0x04/0x67 (103)  req=uav_gimbal_set_gimbal_esc_extern_command_req  rsp=uav_gimbal_set_gimbal_esc_extern_command_rsp
  0x04/0x68 (104)  req=uav_gimbal_cali_data_exist_req  rsp=uav_gimbal_cali_data_exist_rsp
  0x04/0x72 (114)  req=uav_gimbal_get_get_gimbal_info_extend_req  rsp=uav_gimbal_get_get_gimbal_info_extend_rsp
  0x04/0x77 (119)  req=uav_gimbal_get_gimbal_capability_req  rsp=uav_gimbal_get_gimbal_capability_rsp

===== CMD_SET 0x05 (5) [centerboard] =====
